Panc1	BXPC3	MIAPaCa2	HS766T	HPAFII	AVG	MULT	ID	name	Index
12.18607378	2.57345757	7.379765677	-0.630747834	-0.630747834	4.175560273	92.07355743	105815	Mitotic Prometaphase	276
11.75079763	2.690465598	2.690465598	2.690465598	2.690465598	4.502532005	615.7112941	760637	Gastric cancer network 2	1835
11.21492902	2.775671724	6.151374641	-0.600031194	-0.600031194	3.788382599	68.94209318	730315	Resolution of Sister Chromatid Cohesion	1801
9.825323311	2.157277023	9.825323311	-0.398738407	-0.398738407	4.202089366	33.11126378	138080	Aurora B signaling	986
9.093077932	1.956027596	4.335044375	-0.422989183	-0.422989183	2.907634307	13.79551639	137935	FOXM1 transcription factor network	856
8.870515066	-0.225116891	4.322699087	-0.225116891	-0.225116891	2.503572696	0.437449665	730316	Condensation of Prometaphase Chromosomes	1802
8.758814258	1.485018203	6.576675441	-1.424500219	-1.424500219	2.794301493	173.5835415	530733	Cell Cycle	1540
8.539777564	4.047994709	6.293886136	-0.443788146	-0.443788146	3.598816423	42.85058665	138007	PLK1 signaling events	921
8.457535073	-0.22977947	4.113877802	-0.22977947	-0.22977947	2.376414893	0.422113132	105806	Polo-like kinase mediated events	267
7.836108268	2.36749807	5.101803169	-0.366807029	2.36749807	3.46122011	82.19417555	760635	Gastric cancer network 1	1833
7.812972689	1.704375088	6.285823288	-1.349923712	-1.349923712	2.620664728	152.5324	105765	Cell Cycle, Mitotic	238
7.495686535	-0.25720208	3.619242228	-0.25720208	-0.25720208	2.068664505	0.461585859	187197	Kinesins	1229
7.162741779	1.87868156	4.520711669	-0.763348549	-0.763348549	2.407087582	35.44745381	730318	Separation of Sister Chromatids	1804
6.8887865	1.76962882	5.60899708	-0.789950019	-0.789950019	2.537502472	42.66869398	105818	Mitotic Anaphase	277
6.877088986	1.764439311	5.598926568	-0.791885527	-0.791885527	2.531336762	42.60307546	730317	Mitotic Metaphase and Anaphase	1803
6.811781112	-0.41378403	4.403259398	-0.41378403	-0.41378403	1.994737684	2.124986284	161049	Nucleosome assembly	1134
6.811781112	-0.41378403	4.403259398	-0.41378403	-0.41378403	1.994737684	2.124986284	161050	Deposition of New CENPA-containing Nucleosomes at the Centromere	1135
6.801767762	0.921234535	4.84159002	-1.038943208	-1.038943208	2.09734118	32.74640563	105812	M Phase	273
6.778523383	-0.146817221	-0.146817221	-0.146817221	-0.146817221	1.2382509	0.003149511	771571	Activation of NIMA Kinases NEK9, NEK6, NEK7	1839
6.244819555	-0.308325474	6.244819555	-0.308325474	-0.308325474	2.312932538	1.143057321	477139	G0 and Early G1	1535
6.138889283	6.138889283	6.138889283	-0.157084547	-0.157084547	3.620499751	5.708688301	105827	Phosphorylation of Emi1	286
6.118115055	2.75831327	1.078412378	-2.281389407	-0.601488514	1.414392556	24.97312277	920977	RB in Cancer	1991
5.796935346	-0.630000374	4.190201416	-0.630000374	-0.630000374	1.619427128	6.073734133	161048	Chromosome Maintenance	1133
5.27762478	-0.351991775	2.462816502	-0.351991775	-0.351991775	1.336893191	0.566849949	198852	Statin Pathway	1352
5.225841273	0.792779257	3.748153934	-0.684908081	-0.684908081	1.67939166	7.284344773	105801	G2/M Transition	265
5.161093787	0.771786527	3.697991367	-0.691315894	-0.691315894	1.649647979	7.039761078	160942	Mitotic G2-G2/M phases	1052
5.069845532	-0.190694579	-0.190694579	-0.190694579	-0.190694579	0.861413443	0.006704218	105781	E2F-enabled inhibition of pre-replication complex formation	248
5.055940689	-0.188539046	5.055940689	15.54490016	-0.188539046	5.055940689	14.12519627	161008	Neurofascin interactions	1101
5.052975039	1.322672148	3.187823593	-0.542479298	-0.542479298	1.695702437	6.269890849	105807	Centrosome maturation	268
5.052975039	1.322672148	3.187823593	-0.542479298	-0.542479298	1.695702437	6.269890849	105808	Recruitment of mitotic centrosome proteins and complexes	269
4.915081719	4.915081719	-0.197605355	-0.197605355	-0.197605355	1.847469474	0.186405026	105896	Regulation of the Fanconi anemia pathway	327
4.80592087	-0.203377514	-0.203377514	-0.203377514	-0.203377514	0.798482163	0.008222206	105809	Recruitment of NuMA to mitotic centrosomes	270
4.776110145	-0.200559799	-0.200559799	-0.200559799	-0.200559799	0.79477419	0.007727693	105751	G2/M DNA damage checkpoint	233
4.683367046	1.17877091	2.931068978	-0.573527158	-0.573527158	1.529230524	5.322572912	771569	Regulation of PLK1 Activity at G2/M Transition	1837
